Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 12:48:32 EDT,5/24/23,12:48:32,Photo,18,9,6,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786537446210908,"Hi all! I just wanted to share something I have been working on together with a couple of other teachers. We wanted to: 1) free up a bit of lesson planning time for other things, and 2) make sure that our teaching is always creative, fresh, and well-informed. TeachingAIssistant is a ChatGPT powered lesson resource generator that can make over 30 types of lesson resources in seconds. It's totally free and with no signup required for the moment. Please give it a try, and spread the word to any other teachers you think might be interested. It's just the first version, and we have big plans - starting with improved personalisation for individual teachers, classes, and course specifications. I hope you find it useful. :-)",https://www.facebook.com/photo.php?fbid=10167546523520565&set=gm.786537446210908&type=3,,,,,,,,0.95
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 11:56:30 EDT,5/24/23,11:56:30,Video,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786519806212672,Chat GPT is perfect for writing research proposal ,https://youtu.be/ZoEd_BW3G4k,,,Creating a research proposal using ChatGPT || how to use Chat GPT to write Research Proposal ||,In this lecture you will learn how to write research proposal with chat GTP. A research proposal is a concise summary of your proposed research. It establish...,,,,-28
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 11:42:45 EDT,5/24/23,11:42:45,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786489729549013,"Hello teachers out there, How do you use chatGPT to help with planning your lesson slides including metacognition? TIA",,,,,,,,,-32
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 11:42:05 EDT,5/24/23,11:42:05,Status,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786515052879814,"Re: AI Acceptable Use Policies for English Language Arts If you're looking for ideas on how to go about AI use in the classroom next school year, thought you might be interested in an article that was just published today by teacher and EdTech expert Alice Keeler. You can just google the title above if you're interested! Not giving a link so I don't spam.",,,,,,,,,-32
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 07:26:46 EDT,5/24/23,7:26:46,YouTube,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786398272891492,This newly released TED talk speaks powerfully to the need to embrace ChatGPT and similar tools critically and creatively. ,https://www.youtube.com/watch?v=x-3CULlaXEQ,,,3 Reasons To Trust Students With ChatGPT | Yoram Solomon | TEDxJCU,"Are you ready to trust the next generation with new technology? Dr. Yoram Solomon, author of The Book of Trust, challenges us to consider the importance of t...",,,,-16
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 07:12:43 EDT,5/24/23,7:12:43,Native Video,6,2,0,3,0,1,0,0,0,0,share,No,0,0,0,0:00:49,https://www.facebook.com/groups/703007927897194/permalink/786392766225376,This new AI feature added to Photoshop will benefit teachers who teach arts and digital skills. Check it out.,https://www.facebook.com/Educraft.tech/videos/1831532573895468/,,,Educraft,"🔥Adobe just added generative AI to Photoshop - called Firefly. 

The generative AI technology allows users to extend images and add and remove objects based on prompts. Firefly's AI capabilities are impressive, as it can analyse an image and suggest new elements that fit seamlessly into the composition. 

Overall, Adobe's addition of generative AI to Photoshop is a significant step forward for the creative industry, and we can expect to see more innovative features like this in the future.",,,,0.32
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 07:08:53 EDT,5/24/23,7:08:53,Status,433,304,63,23,41,2,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786380329559953,"I just sat down with students and showed them how to put their essays into chatgpt and get feedback. It was a game- changer. Think about it-chatgpt is way more efficient, less subjective, and it doesn't get tired after reading 10 essays in a row. Also, I don't think the students get as offended when it criticizes them because it's not personal. I wouldn't rely on it for a final grade, but to give feedback, it's really quite extraordinary, and I think it will go a long way towards helping students improve as writers. Imagine having students submit 3-4 drafts instead of just the one that takes forever to comment on. Anyways, the prompt was: ""give me specific feedback on how to improve my literary essay, focusing on organization, analysis, and tone. Don't rewrite it for me."" And then paste in the essay.",,,,,,,,,15.46
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 04:14:32 EDT,5/24/23,4:14:32,Status,10,8,0,1,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786318709566115,"I'm a Computing Lecturer at college in the UK. I wanted to share my experience and thoughts in these early days of setting tasks/assignments where students can use AI in the classroom. I'm beginning to see how to use AI to a great advantage for students to learn, not just skills in my subject area but for them to learn basic skills in creativity and communication. *I'm not an English teacher but there could be room for collaborative work.* I get the students to use ChatGPT to create web based on a design that they've created based on a given scenario to a problem. They ask ChatGPT to create code by describing their design (or parts of). I'm seeing that AI then produces the code to a very reasonable standard. However, it may not fully represent what is asked or has bugs in code. The student needs to analyse the output and refine their input and fix bugs. First of all, AI allows a faster and efficient way to write realistic code, but secondly the quality AI produces requires more structured requests/writing that are real world problems they would face in the work place. In other words, if the student struggles to give a structured and detailed description it will not give them everything they need or potentially lower quality solution. On the other hand, if they give it a really good detail they get a more fitting solution and they will still need to fix bugs. Of course, AI will improve over time, but I guess we would need to create more challenging scenarios. Moreover, this is the future of the workplace for employees where they analyse the output of AI. This is also why jobs will not necessarily be redundant because industury will alway push the technology to its limits. Thus subsequent generations will just need to be better at applying and correcting AI output. The following lessons are work-in-progress (or at least I've havent tested end to end) that include steps to creating a solution using ChatGPT for higher education students (given the request and responses I gave and received). https://github.com/drussell1974/web2py_bootstrap_application/blob/dev/projects/ats_veterinarian_booking_system/LESSON_1.md * I created the web2py application so, for example, to style the forms on the front end with bootstrap css.",,,,,,,,,-3.5
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 03:22:45 EDT,5/24/23,3:22:45,Status,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786281456236507,I’m a UK languages teacher. What are your thoughts about students using AI to generate the independent research project in another language at A level? The student isn’t handing anything in and as teachers we cannot view and draft their work so it’s graded on linguistic performance on the day.,,,,,,,,,-35
chatGPT for Teachers,,7.03E+14,none,,,,173585,N/A,2023-05-24 03:22:40 EDT,5/24/23,3:22:40,Link,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/703007927897194/permalink/786301066234546,"In our paper, we compare ChatGPT against students on 32 university-level courses at New York University Abu Dhabi: https://arxiv.org/abs/2305.13934 We find that ChatGPT's performance is comparable, if not superior, to that of students in many courses. Moreover, current AI-text classifiers cannot reliably detect ChatGPT's use in school work, due to their propensity to classify human-written answers as AI-generated, as well as the ease with which AI-generated text can be edited to evade detection. Finally, we conduct a survey across five countries, and find an emerging consensus among students to use the tool, and among educators to treat this as plagiarism.",https://arxiv.org/abs/2305.13934,,,"Perception, performance, and detectability of conversational artificial intelligence across 32 university courses","The emergence of large language models has led to the development of powerful tools such as ChatGPT that can produce text indistinguishable from human-generated work. With the increasing accessibility of such technology, students across the globe may utilize it to help with their school work -- a po...",,,,-11
